epoch,auc,binary_accuracy,loss,val_auc,val_binary_accuracy,val_loss
0,0.6809912323951721,0.5687810778617859,0.5335147380828857,0.5004241466522217,0.2554422914981842,0.577380359172821
1,0.5286281108856201,0.49861055612564087,0.838355302810669,0.4996587336063385,0.744720458984375,4.106614589691162
2,0.5155863165855408,0.5536638498306274,1.4692103862762451,0.4994136095046997,0.7428181767463684,4.095621585845947
3,0.5357012152671814,0.43984299898147583,0.7021379470825195,0.5147399306297302,0.279266357421875,0.5863223671913147
4,0.5308712720870972,0.48675769567489624,1.2900729179382324,0.5278161764144897,0.3039652407169342,0.6167684197425842
5,0.5338397026062012,0.4609691798686981,0.5959189534187317,0.5220633149147034,0.2938435971736908,0.608589231967926
6,0.5382413864135742,0.4176728427410126,0.9206212162971497,0.5,0.7452290654182434,4.106422424316406
7,0.5436627268791199,0.42332518100738525,0.8065313696861267,0.5379983186721802,0.3243306577205658,0.6501409411430359
8,0.5477486848831177,0.3873647451400757,0.6526968479156494,0.5250239968299866,0.297943115234375,0.6051377654075623
9,0.5489787459373474,0.36612948775291443,0.6703572273254395,0.5225121378898621,0.2960205078125,0.618874192237854
