epoch,auc,binary_accuracy,loss,val_auc,val_binary_accuracy,val_loss
0,0.7518787384033203,0.6704651117324829,0.489628404378891,0.7372790575027466,0.6782124638557434,0.4982621669769287
1,0.7570908665657043,0.675098717212677,0.48499131202697754,0.7390663027763367,0.6885579228401184,0.49824953079223633
2,0.7622283697128296,0.6794543266296387,0.480582594871521,0.7387728095054626,0.6880696415901184,0.4984032213687897
3,0.7657071948051453,0.6822898387908936,0.4775239825248718,0.7377245426177979,0.68487548828125,0.49874070286750793
4,0.7677932381629944,0.6836956143379211,0.47550734877586365,0.737040102481842,0.696868896484375,0.5013663172721863
5,0.762432873249054,0.6811540126800537,0.48441281914711,0.7359062433242798,0.683441162109375,0.5011457800865173
6,0.7671127319335938,0.6829608082771301,0.4776465594768524,0.7370415925979614,0.6835530400276184,0.4996655285358429
7,0.7669309377670288,0.6833173632621765,0.4796329736709595,0.736687958240509,0.6875712275505066,0.5011719465255737
8,0.7699813842773438,0.6849429607391357,0.47327402234077454,0.7349951267242432,0.6803792119026184,0.5019248127937317
9,0.7688465118408203,0.6846801042556763,0.4768962264060974,0.7347425818443298,0.685943603515625,0.5042485594749451
